topic_id,size,top_keywords
-1,345,outliers / noise
0,171,精神病不是免死金牌  |  精神病  |  我觉得不是所有的精神病都没有负刑事责任的能力的  |  悲哀啊  |  都知道不伤害父母  |  精神病在没发病的情况下
1,90,最近网络很红的3米抓捕线等之类的东西  |  小学  |  可以提供给老师们使用  |  可以在学校设计个类似深圳大商场的储备防爆道具  |  希望国家加强对小孩的保护措施  |  top1
2,72,回复  |  还不如制造双赢的撞残蓝光还大喝一声有理的淫魔硬盘太君快递权力大  |  网页链接  |  62了  |  真是飞来横祸  |  推卸责任么
3,71,畜牲啊  |  但这些孩子并没有错  |  无论生活怎么对不起你  |  人无一物以报天  |  对孩子下手  |  天生万物以养人
4,45,太可怕啦  |  真的是很过分  |  社会缺少公平正义每个人都可能成为受害者  |  太可恶了  |  就这么随意的剥夺别人的生命  |  太危险啦
5,43,保安一点用都没有  |  安检  |  保安是不是也应该限制一下年龄了  |  保安干嘛去了  |  如果在场为什么不制止行凶行为  |  一直不清楚的一点
6,40,中国社会始终与善良正义站在一起  |  反正我们中国比美国安全  |  踩点  |  不愧是上海人  |  跑上海危害老百姓干嘛  |  但也是被他逼得走投无路
7,33,回复  |  马利弊新闻都看不到  |  为什么不敢说是哪里人  |  看不明白  |  压得真好  |  不清不楚的通报
8,32,惩罚不可饶恕之罪  |  便是死刑存在的意义  |  一旦杀错  |  我认为判刑真的应该多考虑主观恶意程度  |  那就等于让凶手下一次再去杀人  |  那就无可挽回了
9,31,一个人没s  |  这种人必须重判  |  就让他洗  |  这种人永远只会找弱小下手  |  应该把他放路中间  |  应该立即执行
10,30,不然为啥随身带刀  |  肯定是计划好的  |  刀怎么带上火车的  |  回复  |  26分我记得  |  概率比较低了
11,29,法网恢恢  |  严厉打击犯罪分子  |  疏而不漏  |  正义不会迟到  |  犯罪分子终会受到应有的惩罚  |  维护公平正义
12,27,支持法院判决  |  罪有应得  |  正义不会缺席  |  正义永远不会缺席  |  法官判的真公平  |  切实维护公平正义不断满足群众司法期待
13,27,杀人偿命  |  枪毙  |  77事变自导自演  |  青岛路虎女  |  东朱村支部书记蔡珍荣抱团新官不理旧账  |  厦门的已经比较后面了
14,27,枝糊  |  飙车致三死案  |  这态度太嚣张  |  抖得慌  |  太憋屈了  |  根本没悔意
15,20,2018年10月11日  |  延误治疗时间  |  没有申请洗涤红输血治疗  |  请大家关注  |  毕业于华东师范大学  |  这不是他自己发出来的
16,19,一家三口  |  这场面  |  何况他们的家人  |  也太惨了  |  今天早上上班厦门的交通广播主播声泪具泣  |  感情咆哮式的念一条条微信
17,19,不是那么所谓的社会化  |  是换种方式报道  |  起到警示的作用  |  而去跟媒体较劲  |  视而不见听而不闻  |  社会个人的责任感
18,18,29被老人砍杀  |  这背后又是多少个家庭啊  |  十几个家庭就此破碎  |  两家只剩男方母亲了  |  丧子之痛和受害人爸爸一样感同身受  |  作为一个母亲
19,14,点赞  |  政法机关办得快  |  办得好  |  体现了对人民群众生命安全极端负责的态度  |  必须为政法机关的高效办案点赞  |  守护人民群众生命财产安全
20,13,否则别过两年说好了就给放出来了  |  好好改造改造  |  这就来闹事了  |  这人还要留着过年吗  |  这个算是判的快的了  |  还有5年就退休了
21,13,希望伤者平安  |  2人伤势稍重  |  这情节挺恶劣的  |  希望在受伤的人们赶快好起来  |  愿受伤的人早日康复  |  才有这么大的伤亡人数
22,13,日本人应该好好反省下  |  又是山东  |  另外为什么这种事往往发生在学校门口  |  最近山东事有点多呀  |  最后的图长得好像日本人  |  是不是受韩国情报机构指示
23,12,珍惜生命  |  幸好没有造成人员死亡  |  别去害毫无反抗力的孩子  |  直接死刑吧  |  没活着的话奖金会少吗  |  没有生命危险就好
24,11,有认识杀人凶手一家人的吗  |  凭什么放出来杀人  |  持剪刀行凶致一死三伤  |  有种别跑啊  |  以搭讪为借口性骚扰被制止后拿剪刀捅死19岁女孩  |  丧心病狂的凶手
