incident,comments_in_dataset,mental_illness,notes
2024年6月9日成都女子遇害案,156,confirmed,Perpetrator diagnosed with schizophrenia via court-ordered forensic psychiatric evaluation; court found partial criminal responsibility despite defendant repeatedly denying illness at trial
景德镇一家三口被撞,156,unclear,Topic 14 (sentencing); mental illness claim contested — verify
上海瑞金医院持刀砍人案,139,none,"Motive: investment failure/debt, deliberate revenge against society; court convicted of intentional murder with full responsibility, no mental illness assessment raised"
湖北恩施涉校刑事案件,133,none,School-related; verify
广西梧州旺甫小学保安持刀伤人,125,none,School security topic; no mental illness framing
江西一男子幼儿园行凶,104,none,Topics 1/3 (child victims) dominate; no mental illness framing in comments
无锡职业技术学院持刀伤人,103,none,Official motive: failed exams + unpaid internship wages/labor grievance; no mental illness framing in police notice or reporting
泰安一中学附近校车冲撞学生事件,102,none,"CORRECTED after further check: official Shandong provincial government accident investigation report (Feb 2025) found the cause was driver operational error (failed to properly disengage gear/handbrake when restarting) — a workplace-safety responsibility accident, not intentional and not linked to mental illness. Driver + company executives referred for criminal prosecution on traffic/workplace-safety charges."
廉江幼儿园行凶事件,101,none,Topics 1/3 (child victims) dominate
2023年5月4日列车持刀杀人案,95,confirmed,"Perpetrator confessed schizophrenia to police in 2018; a 2019 civil court judgment documents his mental illness, prior violent record, and drug history"
上海地铁持刀伤人事件,83,unclear,Motive never disclosed by police; commentary pieces speculate about mental health but no official confirmation found
德州男子故意冲撞,75,unclear,Vehicle ramming; verify
湖南故意伤害案,71,alleged,"Unverified ""知情人"" (insider) claim that suspect was a mental illness patient previously hospitalized; not confirmed in official police notice"
广州宝马撞人案,67,alleged,Comments mention mental illness claim; verify official diagnosis
吉林北山公园伤人案,58,none,Altercation-triggered attack on foreign visiting professors after a collision; no mental illness framing in reporting
2025年8月景区故意捅人事件,57,alleged,Lawyer publicly raised a claimed history of mental illness; comments explicitly note lack of evidence confirming or ruling it out
红谷滩杀人事件,53,confirmed,Topic 0 dominates (80%+); comments explicitly dispute mental illness defense
深圳日本人学校学生被刺,52,none,Topic 22 (nationalist framing) dominates; no mental illness discourse
武汉大学学生故意伤害事件,51,none,"Official police cause: academic frustration (""学业不顺""); no mental illness diagnosis stated"
贵溪小学持刀伤人,51,none,School attack; verify
米脂县中学砍人案,45,none,School attack; verify
上海松江沃尔玛持刀伤人,43,none,"Same incident as 上海松江男子超市持刀伤人; motive personal economic dispute/revenge, no mental illness reported"
常德撞人事件,40,unclear,Vehicle ramming; verify
北京密云撞人,35,unclear,Vehicle ramming; verify
2021中南财经政法大学副教授被精神病人杀害案,32,confirmed,Incident name states perpetrator was mentally ill
上海松江男子超市持刀伤人,32,none,"Same incident as 上海松江沃尔玛持刀伤人; motive personal economic dispute/revenge, no mental illness reported"
沈阳六旬超市员工持刀行凶,30,none,"Police spokesperson explicitly stated suspect ""没有精神疾病"" (has no mental illness) when asked"
珠海男子驾驶汽车撞倒多名行人,21,unclear,Vehicle ramming; motive unclear — verify
2013年北京首都机场爆炸案,17,none,Motive: social grievance/petitioning dispute over disability compensation (冀中星); no mental illness framing
2014年8月广州公交纵火案,17,none,"Motive: chronic physical illness (severe disc herniation/arthritis) plus gambling debt, revenge on society; no diagnosed mental illness despite one bystander's casual speculation"
长春市宽城区持刀伤人案,15,alleged,"Family reported perpetrator had previously sought hospital treatment for mental illness; unconfirmed by authorities, case still under investigation per source"
2010年4月福建南平校园惨案,14,none,School attack; verify
辽宁开原持刀杀人案,12,confirmed,"CORRECTED after further check: perpetrator 杨某峰 had a documented psychiatric diagnosis (depression with psychotic features / schizophrenia per two independent forensic evaluations — 辽宁省精神卫生中心 and 吉林省神经精神病医院) established in a PRIOR 2019 court case (assault), which found him to have limited criminal responsibility. Police said at the time it was still investigating whether the same applied to this spree; but the diagnosis itself is court-documented, not just rumor."
北京持刀伤人案致5伤,2,none,Same incident as 北京海淀小学门口持刀伤人; no mental illness mentioned in official police notice or reporting
北京海淀小学门口持刀伤人,1,none,Same incident as 北京持刀伤人案致5伤; no mental illness mentioned in official police notice or reporting
